,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
277,26.5,42,29,7.22,21.93,2.34,0.279,2.061,1.99,21.81,73.77
278,23.8,42,33,5.94,27.26,2.365,0.328,2.037,1.45,22.73,71.6
279,25.4,39,28,4.58,22.95,2.192,0.19,2.002,2.03,21.66,72.42
280,26.6,43,39,7.74,31.0,2.416,0.395,2.02,1.16,22.45,72.42
281,24.6,47,42,8.98,33.31,2.321,0.305,2.017,1.77,22.92,72.27
282,30.4,49,26,2.82,22.72,2.336,0.222,2.114,2.16,21.11,74.47
283,25.3,40,27,4.21,22.38,0.0,0.0,0.0,2.18,20.8,73.9
284,28.8,39,14,2.46,11.74,0.0,0.0,0.0,1.0,21.66,76.03
285,36.5,36,25,3.7,21.43,2.393,0.249,2.144,1.72,24.98,76.33
286,40.6,38,21,2.77,18.47,2.207,0.126,2.081,2.17,25.76,75.79
287,32.3,38,27,3.94,23.27,2.275,0.275,2.0,1.56,25.68,72.23
288,28.6,36,36,6.21,30.18,2.254,0.263,1.991,1.76,25.79,73.42
289,34.2,35,11,1.93,9.12,0.0,0.0,0.0,1.04,24.87,75.32
290,32.0,31,23,3.45,19.11,0.0,0.0,0.0,2.08,24.06,74.08
291,30.9,36,36,6.19,29.63,2.378,0.348,2.03,1.18,27.08,72.65
292,32.5,32,30,4.44,25.49,2.296,0.242,2.054,1.6,25.53,70.61
293,36.4,40,23,2.77,20.15,2.193,0.206,1.987,2.15,25.28,73.23
294,30.2,36,26,4.34,21.64,2.164,0.185,1.978,1.88,24.86,73.31
295,37.1,45,23,2.55,20.59,2.305,0.208,2.097,2.06,24.55,74.94
296,32.4,38,28,4.65,23.35,2.259,0.236,2.023,1.86,24.93,74.16
297,31.8,24,20,3.51,16.47,2.079,0.164,1.915,1.85,28.2,76.13
298,29.2,24,27,4.54,22.25,2.229,0.268,1.961,1.26,29.3,77.85
299,25.7,26,30,6.11,23.57,2.135,0.211,1.924,1.92,28.58,79.02
300,34.1,29,17,2.28,15.09,2.067,0.156,1.911,2.06,28.25,77.93
301,30.5,21,16,2.51,13.66,0.0,0.0,0.0,2.2,28.0,78.13
302,30.1,24,17,2.67,14.5,2.264,0.179,2.085,1.83,27.89,80.46
303,30.4,24,23,3.86,19.42,2.132,0.18,1.953,1.78,28.22,76.44
304,34.9,34,18,2.67,15.32,2.142,0.153,1.989,2.11,27.64,79.1
305,36.1,29,12,1.61,10.1,2.064,0.039,2.027,2.25,28.37,82.57
306,30.6,18,8,1.93,5.68,0.0,0.0,0.0,1.17,27.63,78.08
307,32.1,29,19,2.78,16.08,2.123,0.167,1.955,1.84,27.96,78.45
308,31.5,28,21,3.2,17.56,2.187,0.225,1.962,1.68,28.57,77.15
309,33.4,19,16,3.02,13.29,2.008,0.14,1.868,2.4,28.55,78.5
310,30.1,16,17,2.83,13.98,2.095,0.182,1.913,1.65,28.74,79.04
311,33.9,18,9,1.84,7.19,2.038,0.048,1.993,2.48,28.01,82.3
312,32.8,17,18,3.7,14.36,1.951,0.144,1.807,1.82,28.45,77.16
313,32.1,14,13,2.4,10.52,0.0,0.0,0.0,2.49,28.59,76.05
314,31.9,16,13,2.34,11.06,2.224,0.163,2.061,1.69,27.97,82.49
315,33.0,20,16,2.67,13.15,2.036,0.127,1.909,2.21,28.32,78.93
316,32.1,19,15,2.7,12.73,2.008,0.123,1.885,2.31,28.3,78.87
317,28.8,16,21,4.56,16.92,2.116,0.198,1.918,1.32,29.11,79.54
318,28.0,16,20,3.94,15.68,2.042,0.136,1.906,1.85,28.31,78.2
319,26.1,16,23,5.42,17.23,2.056,0.174,1.882,2.12,28.49,82.07
320,33.6,13,5,1.56,3.77,0.0,0.0,0.0,1.39,27.59,79.03
321,28.9,15,15,2.49,12.55,2.078,0.172,1.905,1.85,29.54,77.27
322,25.7,11,20,4.32,16.02,2.014,0.159,1.855,2.15,29.47,78.86
323,29.6,10,5,1.77,3.01,0.0,0.0,0.0,1.29,28.42,77.8
324,29.6,16,14,2.23,11.92,1.968,0.116,1.853,2.0,28.99,77.85
325,26.5,13,19,3.55,15.83,2.087,0.198,1.889,1.08,29.93,77.99
326,26.6,15,18,3.3,14.37,1.944,0.127,1.817,1.86,29.16,76.51
327,31.4,17,15,2.55,12.63,1.949,0.135,1.813,2.16,29.62,76.4
328,27.8,17,18,3.56,14.28,1.966,0.175,1.79,1.9,29.33,75.47
329,30.6,16,15,2.18,12.87,2.008,0.125,1.884,2.3,29.25,77.42
330,29.1,10,13,2.44,10.49,0.0,0.0,0.0,2.49,29.28,75.03
